"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Hybrid,601-1.000,DevOps,Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
NoSQL
SQL","Türk Lirası",Net,%21-%35,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,51-150,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%11-%20,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Ofiste,1.000-5.000,Diğer,Junior,"0-1 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Microsoft Office Araçları","Türk Lirası",Net,%21-%35,"11.402 TL ve altı"
"Ağu 5, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"60 Tokat",Remote,1-50,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı",Türkiye,"16 Bursa",Hybrid,51-150,"Backend Developer / Engineer",Senior,"3-5 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
SQL","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Employee stock options","Yurt dışı",,Hybrid,151-300,"Cyber Security Engineer",Junior,"1-3 Yıl","ChatGPT
DevOps araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","İsviçre Frangı",Brüt,,"200.000 TL - 250.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,601-1.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Ofiste,51-150,"Embedded Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
C, C++","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,601-1.000,"Android Developer",Mid,"3-5 Yıl","Java ve bağlı framework'ler
Kotlin","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,51-150,"Machine Learning Engineer",Mid,"5-9 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Python
Salesforce",Dolar,Brüt,,"250.000 TL ve üzeri"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Q/A - Test Automation Engineer",Junior,"0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python","Türk Lirası",Net,"%51 ve üzeri","20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Data Scientist",Mid,"5-9 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL
Python
SQL","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı","Yurt dışı","34 İstanbul",Hybrid,51-150,"Data Analyst",Junior,"1-3 Yıl","ChatGPT
Python
SQL","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Ofiste,51-150,"Embedded Developer / Engineer",Senior,"3-5 Yıl","C, C++","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,5.000-10.000,Intern,Junior,"0-1 Yıl","ChatGPT
Linux","Türk Lirası",Net,%21-%35,"11.402 TL ve altı"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,151-300,"Q/A - Test Automation Engineer",Junior,"0-1 Yıl","ChatGPT
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"41 Kocaeli",Remote,"10.000 ve üzeri","Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Brüt,,"18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Ofiste,51-150,"Embedded Developer / Engineer",Mid,"1-3 Yıl","C, C++
Linux","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"35 İzmir",Hybrid,"10.000 ve üzeri","Backend Developer / Engineer",Junior,"0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023","Belirtmek İstemiyorum","Erzak yardımı
Tamamlayıcı sağlık sigortası
İşsizlik sigortası",Türkiye,"11 Bilecik",Hybrid,51-150,"Cloud Engineer",Mid,"3-5 Yıl","C, C++
Flutter
Linux
NoSQL
Python
SQL","Meksika Pesosu",Brüt,%36-%50,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Mobile Developer(Cross Platform)",Senior,"5-9 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Figma / XD ve diğer tasarım araçları
Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,"%51 ve üzeri","55.001 TL - 70.000 TL"
"Ağu 5, 2023",Kadın,"Yol / yakıt yardımı",Türkiye,"06 Ankara",Hybrid,1-50,Intern,Junior,"0-1 Yıl",Python,"Türk Lirası",Net,,"11.402 TL ve altı"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"35 İzmir",Ofiste,51-150,"Team Lead",Senior,"5-9 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
Python
SQL","Türk Lirası",Net,%11-%20,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri
İşsizlik sigortası
İşçi tazminatı
Tıbbi izin",Türkiye,"06 Ankara",Hybrid,51-150,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","DevOps araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux","Türk Lirası",Brüt,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 5, 2023","Belirtmek İstemiyorum","Personel servisi","Yurt dışı","03 Afyon",Remote,,"Application Security Engineer",Junior,"0-1 Yıl","C# / .NET Framework","Türk Lirası",Brüt,%5-%10,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Business Analyst",Junior,"1-3 Yıl","Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%21-%35,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Frontend Developer / Engineer",Junior,"0-1 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
İşsizlik sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Brüt,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,51-150,"Product Owner",Mid,"1-3 Yıl","Linux
Python","Türk Lirası",Net,"%51 ve üzeri","20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,151-300,"Frontend Developer / Engineer",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Ofiste,1-50,"Android Developer",Junior,"1-3 Yıl","Adobe CC araçları
ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kotlin
Linux
Microsoft Office Araçları","Türk Lirası",Net,"%51 ve üzeri","15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"06 Ankara",Ofiste,1-50,"Fullstack Developer / Engineer",Mid,"5-9 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Kotlin
Linux
PHP","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Şirket telefonu
Eğitim ödemeleri",Türkiye,"34 İstanbul",Hybrid,1-50,"Cloud Engineer",Senior,"9-12 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux","Türk Lirası",Net,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Software Engineer",Senior,"5-9 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Remote,1-50,"Software Engineer",Junior,"1-3 Yıl","C# / .NET Framework
ChatGPT
Java ve bağlı framework'ler
SQL","Türk Lirası",Net,%36-%50,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"06 Ankara",Ofiste,1-50,"Backend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
ChatGPT","Türk Lirası",Net,%11-%20,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Spor salonu üyeliği / indirimi
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
İşçi tazminatı
Tıbbi izin","Yurt dışı",,Hybrid,1.000-5.000,"Software Engineer",Senior,"12 Yıl ve üzeri","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Python
Swift",Euro,Brüt,%5-%10,"160.001 TL - 200.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Hybrid,1-50,"Frontend Developer / Engineer",Junior,"0-1 Yıl","C, C++
Java ve bağlı framework'ler
PHP","Türk Lirası",Net,%11-%20,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Eğitim ödemeleri",Türkiye,"34 İstanbul",Remote,1-50,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Team Lead",Senior,"5-9 Yıl","C# / .NET Framework
DevOps araçları
SQL","Türk Lirası",Brüt,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"06 Ankara",Ofiste,1-50,"Team Lead",Mid,"1-3 Yıl","C# / .NET Framework
Python","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,1.000-5.000,Diğer,Junior,"0-1 Yıl",SQL,"Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,"10.000 ve üzeri","Backend Developer / Engineer",Junior,"0-1 Yıl","ChatGPT
Java ve bağlı framework'ler
SQL","Türk Lirası",Brüt,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Eğitim ödemeleri",Türkiye,"34 İstanbul",Ofiste,1-50,"Game Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
ChatGPT","Türk Lirası",Net,"%51 ve üzeri","18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Q/A - Test Automation Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Java ve bağlı framework'ler","Türk Lirası",Brüt,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Backend Developer / Engineer",Senior,"5-9 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri",Intern,Junior,"0-1 Yıl","Java ve bağlı framework'ler
Microsoft Office Araçları
No-code / Low-code Araçları","Türk Lirası",Net,%21-%35,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"34 İstanbul",Remote,301-600,"Mobile Developer(Cross Platform)",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,5.000-10.000,"Android Developer",Mid,"3-5 Yıl",Kotlin,"Türk Lirası",Net,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Senior,"9-12 Yıl","C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Ofiste,1-50,"Game Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
ChatGPT
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%11-%20,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket aracı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,Diğer,Mid,"12 Yıl ve üzeri","Adobe CC araçları
Figma / XD ve diğer tasarım araçları
Flutter","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
İşçi tazminatı
Tıbbi izin",Türkiye,"06 Ankara",Hybrid,1.000-5.000,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C, C++
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux","Türk Lirası",Net,%21-%35,"250.000 TL ve üzeri"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Hybrid,601-1.000,"AI - ML Developer / Engineer",Junior,"1-3 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Python","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,51-150,"Frontend Developer / Engineer",Junior,"1-3 Yıl","ChatGPT
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%36-%50,"18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"06 Ankara",Remote,151-300,"Mobile Developer(Cross Platform)",Senior,"5-9 Yıl","ChatGPT
Flutter
Javascript / Typescript ve bağlı framework'ler
PHP","Türk Lirası",Net,%11-%20,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Software Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
SQL","Türk Lirası",Brüt,%21-%35,"130.001 TL - 160.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Personel servisi
Tamamlayıcı sağlık sigortası
Hayat sigortası
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"41 Kocaeli",Ofiste,1.000-5.000,"Software Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Kadın,"Yol / yakıt yardımı
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler
Linux","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"35 İzmir",Hybrid,1-50,"Embedded Developer / Engineer",Senior,"5-9 Yıl","C, C++
DevOps araçları
Linux",Euro,Net,,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Fullstack Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,51-150,"Software Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler
SQL","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Tıbbi izin",Türkiye,"34 İstanbul",Remote,301-600,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%11-%20,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket aracı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"36 Kars",Remote,"10.000 ve üzeri","Solutions Architect",Senior,"9-12 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
PHP
SQL","Türk Lirası",Brüt,,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"06 Ankara",Ofiste,1-50,"Backend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
ChatGPT
SQL","Türk Lirası",Net,%5-%10,"11.402 TL ve altı"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"07 Antalya",Ofiste,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yol / yakıt yardımı
Şirket telefonu
Personel servisi",Türkiye,"35 İzmir",Hybrid,1.000-5.000,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
PHP
SQL","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,5.000-10.000,"iOS Developer",Senior,"5-9 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Linux
Swift","Türk Lirası",Net,%36-%50,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,1-50,"Software Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
SQL",Euro,Net,%5-%10,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"16 Bursa",Hybrid,1-50,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Eğitim ödemeleri
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin","Yurt dışı",,Remote,1-50,"Product Manager",Senior,"5-9 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Python
R
Rust
SQL",Euro,Net,,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
